JobID|JobName|State|ExitCode|Submit|Start|End|Elapsed|AllocCPUS|NNodes|NodeList|TotalCPU|CPUTime|MaxRSS
70217_100|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:39:43|2026-07-19T19:40:16|00:00:33|28|1|sn139|00:35.964|00:15:24|
70217_100.batch|batch|COMPLETED|0:0|2026-07-19T19:39:43|2026-07-19T19:39:43|2026-07-19T19:40:16|00:00:33|28|1|sn139|00:35.962|00:15:24|0.46G
70217_100.extern|extern|COMPLETED|0:0|2026-07-19T19:39:43|2026-07-19T19:39:43|2026-07-19T19:40:16|00:00:33|28|1|sn139|00:00.001|00:15:24|0.00G
70217_1|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:37:46|2026-07-19T19:38:19|00:00:33|28|1|sn060|00:35.178|00:15:24|
70217_1.batch|batch|COMPLETED|0:0|2026-07-19T19:37:46|2026-07-19T19:37:46|2026-07-19T19:38:19|00:00:33|28|1|sn060|00:35.176|00:15:24|0.48G
70217_1.extern|extern|COMPLETED|0:0|2026-07-19T19:37:46|2026-07-19T19:37:46|2026-07-19T19:38:19|00:00:33|28|1|sn060|00:00.001|00:15:24|0.00G
70217_2|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:37:46|2026-07-19T19:38:21|00:00:35|28|1|sn150|00:36.697|00:16:20|
70217_2.batch|batch|COMPLETED|0:0|2026-07-19T19:37:46|2026-07-19T19:37:46|2026-07-19T19:38:21|00:00:35|28|1|sn150|00:36.695|00:16:20|0.45G
70217_2.extern|extern|COMPLETED|0:0|2026-07-19T19:37:46|2026-07-19T19:37:46|2026-07-19T19:38:21|00:00:35|28|1|sn150|00:00.001|00:16:20|0.00G
70217_3|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:37:46|2026-07-19T19:38:20|00:00:34|28|1|sn042|00:35.502|00:15:52|
70217_3.batch|batch|COMPLETED|0:0|2026-07-19T19:37:46|2026-07-19T19:37:46|2026-07-19T19:38:20|00:00:34|28|1|sn042|00:35.500|00:15:52|0.45G
70217_3.extern|extern|COMPLETED|0:0|2026-07-19T19:37:46|2026-07-19T19:37:46|2026-07-19T19:38:20|00:00:34|28|1|sn042|00:00.001|00:15:52|0.00G
70217_4|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:37:46|2026-07-19T19:38:19|00:00:33|28|1|sn043|00:34.204|00:15:24|
70217_4.batch|batch|COMPLETED|0:0|2026-07-19T19:37:46|2026-07-19T19:37:46|2026-07-19T19:38:19|00:00:33|28|1|sn043|00:34.202|00:15:24|0.47G
70217_4.extern|extern|COMPLETED|0:0|2026-07-19T19:37:46|2026-07-19T19:37:46|2026-07-19T19:38:19|00:00:33|28|1|sn043|00:00.001|00:15:24|0.00G
70217_5|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:37:46|2026-07-19T19:38:20|00:00:34|28|1|sn044|00:35.274|00:15:52|
70217_5.batch|batch|COMPLETED|0:0|2026-07-19T19:37:46|2026-07-19T19:37:46|2026-07-19T19:38:20|00:00:34|28|1|sn044|00:35.272|00:15:52|0.48G
70217_5.extern|extern|COMPLETED|0:0|2026-07-19T19:37:46|2026-07-19T19:37:46|2026-07-19T19:38:20|00:00:34|28|1|sn044|00:00.001|00:15:52|0.00G
70217_6|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:37:46|2026-07-19T19:38:20|00:00:34|28|1|sn045|00:36.086|00:15:52|
70217_6.batch|batch|COMPLETED|0:0|2026-07-19T19:37:46|2026-07-19T19:37:46|2026-07-19T19:38:20|00:00:34|28|1|sn045|00:36.084|00:15:52|0.49G
70217_6.extern|extern|COMPLETED|0:0|2026-07-19T19:37:46|2026-07-19T19:37:46|2026-07-19T19:38:20|00:00:34|28|1|sn045|00:00.001|00:15:52|0.00G
70217_7|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:37:46|2026-07-19T19:38:19|00:00:33|28|1|sn022|00:33.746|00:15:24|
70217_7.batch|batch|COMPLETED|0:0|2026-07-19T19:37:46|2026-07-19T19:37:46|2026-07-19T19:38:19|00:00:33|28|1|sn022|00:33.744|00:15:24|0.47G
70217_7.extern|extern|COMPLETED|0:0|2026-07-19T19:37:46|2026-07-19T19:37:46|2026-07-19T19:38:19|00:00:33|28|1|sn022|00:00.001|00:15:24|0.00G
