JobID|JobName|State|ExitCode|Submit|Start|End|Elapsed|AllocCPUS|NNodes|NodeList|TotalCPU|CPUTime|MaxRSS
69986_10|fra_parallel|COMPLETED|0:0|2026-07-19T18:08:56|2026-07-19T18:08:57|2026-07-19T18:09:30|00:00:33|28|1|sn148|00:35.664|00:15:24|
69986_10.batch|batch|COMPLETED|0:0|2026-07-19T18:08:57|2026-07-19T18:08:57|2026-07-19T18:09:30|00:00:33|28|1|sn148|00:35.662|00:15:24|0.45G
69986_10.extern|extern|COMPLETED|0:0|2026-07-19T18:08:57|2026-07-19T18:08:57|2026-07-19T18:09:30|00:00:33|28|1|sn148|00:00.001|00:15:24|0.00G
69986_1|fra_parallel|COMPLETED|0:0|2026-07-19T18:08:56|2026-07-19T18:08:57|2026-07-19T18:09:29|00:00:32|28|1|sn007|00:34.832|00:14:56|
69986_1.batch|batch|COMPLETED|0:0|2026-07-19T18:08:57|2026-07-19T18:08:57|2026-07-19T18:09:29|00:00:32|28|1|sn007|00:34.830|00:14:56|0.48G
69986_1.extern|extern|COMPLETED|0:0|2026-07-19T18:08:57|2026-07-19T18:08:57|2026-07-19T18:09:29|00:00:32|28|1|sn007|00:00.001|00:14:56|0.00G
69986_2|fra_parallel|COMPLETED|0:0|2026-07-19T18:08:56|2026-07-19T18:08:57|2026-07-19T18:09:32|00:00:35|28|1|sn009|00:37.339|00:16:20|
69986_2.batch|batch|COMPLETED|0:0|2026-07-19T18:08:57|2026-07-19T18:08:57|2026-07-19T18:09:32|00:00:35|28|1|sn009|00:37.337|00:16:20|0.45G
69986_2.extern|extern|COMPLETED|0:0|2026-07-19T18:08:57|2026-07-19T18:08:57|2026-07-19T18:09:32|00:00:35|28|1|sn009|00:00.001|00:16:20|0.00G
69986_3|fra_parallel|COMPLETED|0:0|2026-07-19T18:08:56|2026-07-19T18:08:57|2026-07-19T18:09:30|00:00:33|28|1|sn011|00:35.132|00:15:24|
69986_3.batch|batch|COMPLETED|0:0|2026-07-19T18:08:57|2026-07-19T18:08:57|2026-07-19T18:09:30|00:00:33|28|1|sn011|00:35.130|00:15:24|0.45G
69986_3.extern|extern|COMPLETED|0:0|2026-07-19T18:08:57|2026-07-19T18:08:57|2026-07-19T18:09:30|00:00:33|28|1|sn011|00:00.001|00:15:24|0.00G
69986_4|fra_parallel|COMPLETED|0:0|2026-07-19T18:08:56|2026-07-19T18:08:57|2026-07-19T18:09:29|00:00:32|28|1|sn056|00:33.627|00:14:56|
69986_4.batch|batch|COMPLETED|0:0|2026-07-19T18:08:57|2026-07-19T18:08:57|2026-07-19T18:09:29|00:00:32|28|1|sn056|00:33.625|00:14:56|0.44G
69986_4.extern|extern|COMPLETED|0:0|2026-07-19T18:08:57|2026-07-19T18:08:57|2026-07-19T18:09:29|00:00:32|28|1|sn056|00:00.001|00:14:56|0.00G
69986_5|fra_parallel|COMPLETED|0:0|2026-07-19T18:08:56|2026-07-19T18:08:57|2026-07-19T18:09:31|00:00:34|28|1|sn064|00:36.240|00:15:52|
69986_5.batch|batch|COMPLETED|0:0|2026-07-19T18:08:57|2026-07-19T18:08:57|2026-07-19T18:09:31|00:00:34|28|1|sn064|00:36.238|00:15:52|0.48G
69986_5.extern|extern|COMPLETED|0:0|2026-07-19T18:08:57|2026-07-19T18:08:57|2026-07-19T18:09:31|00:00:34|28|1|sn064|00:00.001|00:15:52|0.00G
69986_6|fra_parallel|COMPLETED|0:0|2026-07-19T18:08:56|2026-07-19T18:08:57|2026-07-19T18:09:30|00:00:33|28|1|sn059|00:35.948|00:15:24|
69986_6.batch|batch|COMPLETED|0:0|2026-07-19T18:08:57|2026-07-19T18:08:57|2026-07-19T18:09:30|00:00:33|28|1|sn059|00:35.946|00:15:24|0.49G
69986_6.extern|extern|COMPLETED|0:0|2026-07-19T18:08:57|2026-07-19T18:08:57|2026-07-19T18:09:31|00:00:34|28|1|sn059|00:00.001|00:15:52|0.00G
69986_7|fra_parallel|COMPLETED|0:0|2026-07-19T18:08:56|2026-07-19T18:08:57|2026-07-19T18:09:29|00:00:32|28|1|sn060|00:34.119|00:14:56|
69986_7.batch|batch|COMPLETED|0:0|2026-07-19T18:08:57|2026-07-19T18:08:57|2026-07-19T18:09:29|00:00:32|28|1|sn060|00:34.117|00:14:56|0.47G
69986_7.extern|extern|COMPLETED|0:0|2026-07-19T18:08:57|2026-07-19T18:08:57|2026-07-19T18:09:29|00:00:32|28|1|sn060|00:00.001|00:14:56|0.00G
69986_8|fra_parallel|COMPLETED|0:0|2026-07-19T18:08:56|2026-07-19T18:08:57|2026-07-19T18:09:33|00:00:36|28|1|sn136|00:36.407|00:16:48|
69986_8.batch|batch|COMPLETED|0:0|2026-07-19T18:08:57|2026-07-19T18:08:57|2026-07-19T18:09:33|00:00:36|28|1|sn136|00:36.405|00:16:48|0.46G
69986_8.extern|extern|COMPLETED|0:0|2026-07-19T18:08:57|2026-07-19T18:08:57|2026-07-19T18:09:33|00:00:36|28|1|sn136|00:00.001|00:16:48|0.00G
69986_9|fra_parallel|COMPLETED|0:0|2026-07-19T18:08:56|2026-07-19T18:08:57|2026-07-19T18:09:31|00:00:34|28|1|sn137|00:35.258|00:15:52|
69986_9.batch|batch|COMPLETED|0:0|2026-07-19T18:08:57|2026-07-19T18:08:57|2026-07-19T18:09:31|00:00:34|28|1|sn137|00:35.256|00:15:52|0.45G
69986_9.extern|extern|COMPLETED|0:0|2026-07-19T18:08:57|2026-07-19T18:08:57|2026-07-19T18:09:31|00:00:34|28|1|sn137|00:00.001|00:15:52|0.00G
