plan_id,district_id,dem_votes,rep_votes,population,winner
469,0,194806,219006,761245,Republican
469,1,262307,141910,768559,Democrat
469,2,171385,244248,780483,Republican
469,3,197962,190251,739130,Democrat
469,4,177511,201299,772030,Republican
469,5,191665,258354,789720,Republican
469,6,266975,111522,746103,Democrat
469,7,161524,211210,757730,Republican
469,8,242113,142277,772366,Democrat
469,9,177594,222533,780195,Republican
469,10,210554,189462,765390,Democrat
469,11,146535,245451,734835,Republican
469,12,136716,292833,773278,Republican
469,13,175962,226585,738196,Republican
